Tipo,x,y
dengue,-78.52,-5.37
dengue,-78.50,-5.48
dengue,-78.49,-5.45
dengue,-78.51,-5.38
dengue,-78.46,-5.44
dengue,-78.42,-5.37
dengue,-78.39,-5.30
dengue,-78.41,-5.40
dengue,-78.45,-5.51
dengue,-78.43,-5.48
dengue,-78.44,-5.43
dengue,-78.36,-5.43
dengue,-78.38,-5.47
dengue,-78.42,-5.43
dengue,-78.46,-5.46
dengue,-78.43,-5.45
dengue,-78.43,-5.43
dengue,-78.39,-5.44
dengue,-78.44,-5.35
dengue,-78.46,-5.43
dengue,-78.45,-5.42
dengue,-78.44,-5.42
dengue,-78.44,-5.41
dengue,-78.45,-5.40
dengue,-78.44,-5.33
dengue,-78.43,-5.30
dengue,-78.41,-5.44
dengue,-78.39,-5.45
dengue,-78.45,-5.44
dengue,-78.50,-5.52
dengue,-78.50,-5.60
dengue,-78.49,-5.67
dengue,-78.48,-5.66
dengue,-78.51,-5.65
dengue,-78.50,-5.65
dengue,-78.53,-5.64
dengue,-78.52,-5.64
dengue,-78.55,-5.59
dengue,-78.55,-5.56
dengue,-78.53,-5.54
dengue,-78.55,-5.54
dengue,-78.55,-5.50
dengue,-78.50,-5.62
dengue,-78.48,-5.69
dengue,-78.41,-5.69
dengue,-78.45,-5.69
dengue,-78.44,-5.69
dengue,-78.43,-5.68
dengue,-78.42,-5.67
dengue,-78.41,-5.67
dengue,-78.37,-5.61
dengue,-78.42,-5.66
dengue,-78.41,-5.65
dengue,-78.40,-5.64
dengue,-78.38,-5.63
dengue,-78.38,-5.63
dengue,-78.46,-5.68
dengue,-78.48,-5.60
dengue,-78.48,-5.63
dengue,-78.47,-5.62
dengue,-78.47,-5.62
dengue,-78.52,-4.77
dengue,-78.29,-5.20
dengue,-78.35,-5.22
dengue,-78.33,-5.07
dengue,-78.29,-5.16
dengue,-78.28,-5.15
dengue,-78.32,-5.14
dengue,-78.30,-5.07
dengue,-78.34,-5.06
dengue,-78.34,-5.05
dengue,-78.26,-5.05
dengue,-78.20,-4.94
dengue,-78.20,-4.94
dengue,-78.20,-4.89
dengue,-78.19,-4.87
dengue,-78.29,-4.79
dengue,-78.44,-5.08
dengue,-78.19,-4.70
dengue,-78.34,-5.03
dengue,-78.15,-4.65
dengue,-78.48,-5.57
dengue,-78.43,-5.61
dengue,-78.44,-5.60
dengue,-78.44,-5.66
dengue,-78.44,-5.61
dengue,-78.44,-5.60
dengue,-78.42,-5.61
dengue,-78.45,-5.58
dengue,-78.40,-5.59
dengue,-78.45,-5.62
dengue,-78.40,-5.62
dengue,-77.95,-6.02
dengue,-77.98,-5.95
dengue,-77.92,-5.74
dengue,-77.99,-6.85
dengue,-78.00,-6.85
dengue,-78.03,-6.84
dengue,-78.01,-6.83
dengue,-78.02,-6.84
dengue,-77.93,-6.84
dengue,-77.87,-6.23
dengue,-78.19,-4.57
dengue,-78.17,-4.46
dengue,-77.94,-4.83
dengue,-78.01,-5.14
dengue,-77.96,-4.94
dengue,-78.15,-4.93
dengue,-77.93,-4.90
dengue,-78.13,-4.98
dengue,-78.07,-4.91
dengue,-77.99,-4.85
dengue,-77.89,-4.71
dengue,-77.93,-4.62
dengue,-77.99,-4.62
dengue,-77.95,-4.61
dengue,-77.93,-4.57
dengue,-77.97,-4.62
dengue,-77.95,-4.50
dengue,-77.87,-4.61
dengue,-77.81,-4.69
dengue,-77.84,-4.63
dengue,-77.87,-4.60
dengue,-77.86,-4.60
dengue,-77.87,-4.59
dengue,-77.70,-4.55
dengue,-77.79,-4.48
dengue,-77.68,-4.48
dengue,-77.74,-4.61
dengue,-77.97,-5.13
dengue,-77.94,-5.12
dengue,-77.95,-4.84
dengue,-77.95,-4.80
dengue,-77.93,-4.86
dengue,-78.04,-4.90
dengue,-78.03,-4.89
dengue,-77.83,-4.73
dengue,-78.00,-4.65
dengue,-77.95,-4.52
dengue,-77.86,-4.59
dengue,-77.77,-4.49
dengue,-77.88,-4.65
dengue,-77.71,-4.47
dengue,-77.87,-4.69
dengue,-77.72,-4.24
dengue,-77.76,-4.06
dengue,-77.75,-4.02
dengue,-77.75,-3.94
dengue,-77.76,-4.02
dengue,-77.71,-3.89
dengue,-77.73,-3.78
dengue,-77.76,-3.68
dengue,-77.82,-3.12
dengue,-77.50,-6.50
dengue,-78.38,-5.87
dengue,-78.34,-5.90
dengue,-78.32,-5.89
dengue,-78.45,-5.91
dengue,-78.39,-5.86
dengue,-78.44,-5.83
dengue,-78.37,-5.86
dengue,-78.45,-5.86
dengue,-78.31,-5.90
dengue,-78.56,-5.78
dengue,-78.53,-5.81
dengue,-78.54,-5.75
dengue,-78.52,-5.73
dengue,-78.49,-5.72
dengue,-78.53,-5.77
dengue,-78.44,-5.83
dengue,-78.32,-5.81
dengue,-78.43,-5.83
dengue,-78.31,-5.82
dengue,-78.43,-5.76
dengue,-78.43,-5.76
dengue,-78.47,-5.76
dengue,-78.44,-5.75
dengue,-78.46,-5.74
dengue,-78.47,-5.74
dengue,-78.45,-5.77
dengue,-78.33,-5.93
dengue,-78.30,-5.91
dengue,-78.35,-5.91
dengue,-78.45,-5.93
dengue,-78.31,-5.87
dengue,-78.51,-5.75
dengue,-78.48,-5.72
dengue,-78.24,-5.83
dengue,-78.21,-5.83
dengue,-78.24,-5.81
dengue,-78.28,-5.82
dengue,-78.26,-5.80
dengue,-78.27,-5.80
dengue,-78.33,-5.79
dengue,-78.29,-5.78
dengue,-78.30,-5.76
dengue,-78.25,-5.75
dengue,-78.28,-5.75
dengue,-78.43,-5.74
dengue,-78.36,-5.74
dengue,-78.41,-5.75
dengue,-78.33,-5.74
dengue,-78.30,-5.73
dengue,-78.28,-5.72
dengue,-78.41,-5.72
dengue,-78.26,-5.74
dengue,-78.29,-5.71
dengue,-78.35,-5.70
dengue,-78.33,-5.71
dengue,-78.32,-5.69
dengue,-78.37,-5.73
dengue,-78.35,-5.68
dengue,-78.27,-5.77
dengue,-78.35,-5.71
dengue,-78.30,-5.72
dengue,-78.24,-5.83
dengue,-78.16,-5.86
dengue,-78.19,-5.84
dengue,-78.16,-5.87
dengue,-78.21,-5.84
dengue,-78.20,-5.84
dengue,-78.38,-5.69
dengue,-78.26,-5.81
dengue,-78.25,-5.79
dengue,-78.37,-5.74
dengue,-78.32,-5.76
